
Creating window glfw
Epochs: 0, Loss: 2301045248.0, lr: 0.004
Epochs: 1, Loss: 2372957696.0, lr: 0.004
Epochs: 2, Loss: 2280835840.0, lr: 0.004
Epochs: 3, Loss: 2290316800.0, lr: 0.004
Epochs: 4, Loss: 2302825472.0, lr: 0.004
Epochs: 5, Loss: 2270395648.0, lr: 0.004
Epochs: 6, Loss: 2237276160.0, lr: 0.004
Epochs: 7, Loss: 2229118976.0, lr: 0.004
Epochs: 8, Loss: 2232092416.0, lr: 0.004
Epochs: 9, Loss: 2221816832.0, lr: 0.004
Epochs: 10, Loss: 2197906944.0, lr: 0.004
Epochs: 11, Loss: 2175777280.0, lr: 0.004
Epochs: 12, Loss: 2164426240.0, lr: 0.004
Epochs: 13, Loss: 2158473728.0, lr: 0.004
Epochs: 14, Loss: 2147001728.0, lr: 0.004
Epochs: 15, Loss: 2127340928.0, lr: 0.004
Epochs: 16, Loss: 2106165504.0, lr: 0.004
Epochs: 17, Loss: 2090010880.0, lr: 0.004
Epochs: 18, Loss: 2078031744.0, lr: 0.004
Epochs: 19, Loss: 2063997824.0, lr: 0.004
Epochs: 20, Loss: 2044706048.0, lr: 0.004
Epochs: 21, Loss: 2023447040.0, lr: 0.004
Epochs: 22, Loss: 2004889472.0, lr: 0.004
Epochs: 23, Loss: 1989118848.0, lr: 0.004
Epochs: 24, Loss: 1971981440.0, lr: 0.004
Epochs: 25, Loss: 1951055104.0, lr: 0.004
Epochs: 26, Loss: 1928728192.0, lr: 0.004
Epochs: 27, Loss: 1908332672.0, lr: 0.004
Epochs: 28, Loss: 1889464320.0, lr: 0.004
Epochs: 29, Loss: 1869081856.0, lr: 0.004
Epochs: 30, Loss: 1846452608.0, lr: 0.004
Epochs: 31, Loss: 1823993728.0, lr: 0.004
Epochs: 32, Loss: 1803164416.0, lr: 0.004
Epochs: 33, Loss: 1782259328.0, lr: 0.004
Epochs: 34, Loss: 1759505408.0, lr: 0.004
Epochs: 35, Loss: 1735990912.0, lr: 0.004
