
Creating window glfw
Epochs: 0, Loss: 436828032.0, lr: 0.004
Epochs: 1, Loss: 403426624.0, lr: 0.004
Epochs: 2, Loss: 380046592.0, lr: 0.004
Epochs: 3, Loss: 362083104.0, lr: 0.004
Epochs: 4, Loss: 349897952.0, lr: 0.004
Epochs: 5, Loss: 341488064.0, lr: 0.004
Epochs: 6, Loss: 336941216.0, lr: 0.004
Epochs: 7, Loss: 334596448.0, lr: 0.004
Epochs: 8, Loss: 334744128.0, lr: 0.004
Epochs: 9, Loss: 337289408.0, lr: 0.004
Epochs: 10, Loss: 339343168.0, lr: 0.004
Epochs: 11, Loss: 341506592.0, lr: 0.004
Epochs: 12, Loss: 339470528.0, lr: 0.004
Epochs: 13, Loss: 334461184.0, lr: 0.004
Epochs: 14, Loss: 326761376.0, lr: 0.004
Epochs: 15, Loss: 314974176.0, lr: 0.004
Epochs: 16, Loss: 306985376.0, lr: 0.004
Epochs: 17, Loss: 297328000.0, lr: 0.004
Epochs: 18, Loss: 287855264.0, lr: 0.004
Epochs: 19, Loss: 278802848.0, lr: 0.004
Epochs: 20, Loss: 272040320.0, lr: 0.004
Epochs: 21, Loss: 265657792.0, lr: 0.004
Epochs: 22, Loss: 260484640.0, lr: 0.004
Epochs: 23, Loss: 256843680.0, lr: 0.004
Epochs: 24, Loss: 253293520.0, lr: 0.004
Epochs: 25, Loss: 246760880.0, lr: 0.004
Epochs: 26, Loss: 245253584.0, lr: 0.004
Epochs: 27, Loss: 238499008.0, lr: 0.004
Epochs: 28, Loss: 230406880.0, lr: 0.004
Epochs: 29, Loss: 224429344.0, lr: 0.004
Epochs: 30, Loss: 220003120.0, lr: 0.004
Epochs: 31, Loss: 212689088.0, lr: 0.004
Epochs: 32, Loss: 208254864.0, lr: 0.004
Epochs: 33, Loss: 205308560.0, lr: 0.004
Epochs: 34, Loss: 203339616.0, lr: 0.004
Epochs: 35, Loss: 202432832.0, lr: 0.004
Epochs: 36, Loss: 198875120.0, lr: 0.004
Epochs: 37, Loss: 196817248.0, lr: 0.004
Epochs: 38, Loss: 193098608.0, lr: 0.004
Epochs: 39, Loss: 189167120.0, lr: 0.004
Epochs: 40, Loss: 187166256.0, lr: 0.004
Epochs: 41, Loss: 185148352.0, lr: 0.004
Epochs: 42, Loss: 182843520.0, lr: 0.004
Epochs: 43, Loss: 180981952.0, lr: 0.004
Epochs: 44, Loss: 178236016.0, lr: 0.004
Epochs: 45, Loss: 175179856.0, lr: 0.004
Epochs: 46, Loss: 173128176.0, lr: 0.004
Epochs: 47, Loss: 171596288.0, lr: 0.004
Epochs: 48, Loss: 170116656.0, lr: 0.004
Epochs: 49, Loss: 168278336.0, lr: 0.004
Epochs: 50, Loss: 165406944.0, lr: 0.004
Epochs: 51, Loss: 161728320.0, lr: 0.004
Epochs: 52, Loss: 157573280.0, lr: 0.004
Epochs: 53, Loss: 153504272.0, lr: 0.004
Epochs: 54, Loss: 149717024.0, lr: 0.004
Epochs: 55, Loss: 146242032.0, lr: 0.004
Epochs: 56, Loss: 143043920.0, lr: 0.004
Epochs: 57, Loss: 140346288.0, lr: 0.004
Epochs: 58, Loss: 138423696.0, lr: 0.004
Epochs: 59, Loss: 135620688.0, lr: 0.004
Epochs: 60, Loss: 131324424.0, lr: 0.004
Epochs: 61, Loss: 127675208.0, lr: 0.004
Epochs: 62, Loss: 124703744.0, lr: 0.004
Epochs: 63, Loss: 121649560.0, lr: 0.004
Epochs: 64, Loss: 118956584.0, lr: 0.004
Epochs: 65, Loss: 116583456.0, lr: 0.004
Epochs: 66, Loss: 114079992.0, lr: 0.004
Epochs: 67, Loss: 111297360.0, lr: 0.004
Epochs: 68, Loss: 109871352.0, lr: 0.004
Epochs: 69, Loss: 106498544.0, lr: 0.004
Epochs: 70, Loss: 103541016.0, lr: 0.004
Epochs: 71, Loss: 100554496.0, lr: 0.004
Epochs: 72, Loss: 97910944.0, lr: 0.004
Epochs: 73, Loss: 95448344.0, lr: 0.004
Epochs: 74, Loss: 94200192.0, lr: 0.004
Epochs: 75, Loss: 91101160.0, lr: 0.004
Epochs: 76, Loss: 88176720.0, lr: 0.004
Epochs: 77, Loss: 85594712.0, lr: 0.004
Epochs: 78, Loss: 83046544.0, lr: 0.004
Epochs: 79, Loss: 81317128.0, lr: 0.004
Epochs: 80, Loss: 78914240.0, lr: 0.004
Epochs: 81, Loss: 77143136.0, lr: 0.004
Epochs: 82, Loss: 74530928.0, lr: 0.004
Epochs: 83, Loss: 72499216.0, lr: 0.004
Epochs: 84, Loss: 71649072.0, lr: 0.004
Epochs: 85, Loss: 69866000.0, lr: 0.004
Epochs: 86, Loss: 67254056.0, lr: 0.004
Epochs: 87, Loss: 65225260.0, lr: 0.004
Epochs: 88, Loss: 63326180.0, lr: 0.004
Epochs: 89, Loss: 61615736.0, lr: 0.004
Epochs: 90, Loss: 59736984.0, lr: 0.004
Epochs: 91, Loss: 59130212.0, lr: 0.004
Epochs: 92, Loss: 56895204.0, lr: 0.004
Epochs: 93, Loss: 55063748.0, lr: 0.004
Epochs: 94, Loss: 53592468.0, lr: 0.004
Epochs: 95, Loss: 52359284.0, lr: 0.004
Epochs: 96, Loss: 50985508.0, lr: 0.004
Epochs: 97, Loss: 49653872.0, lr: 0.004
Epochs: 98, Loss: 47873780.0, lr: 0.004
Epochs: 99, Loss: 46636644.0, lr: 0.004
Epochs: 100, Loss: 45516828.0, lr: 0.004
Epochs: 101, Loss: 45528152.0, lr: 0.004
Epochs: 102, Loss: 43493736.0, lr: 0.004
Epochs: 103, Loss: 43101004.0, lr: 0.004
Epochs: 104, Loss: 41874732.0, lr: 0.004
Epochs: 105, Loss: 40990500.0, lr: 0.004
Epochs: 106, Loss: 40165564.0, lr: 0.004
Epochs: 107, Loss: 39186728.0, lr: 0.004
Epochs: 108, Loss: 38138552.0, lr: 0.004
Epochs: 109, Loss: 37134436.0, lr: 0.004
Epochs: 110, Loss: 35894308.0, lr: 0.004
Epochs: 111, Loss: 35348216.0, lr: 0.004
Epochs: 112, Loss: 34313260.0, lr: 0.004
Epochs: 113, Loss: 33758712.0, lr: 0.004
Epochs: 114, Loss: 33367814.0, lr: 0.004
Epochs: 115, Loss: 32578922.0, lr: 0.004
Epochs: 116, Loss: 32003024.0, lr: 0.004
Epochs: 117, Loss: 31114446.0, lr: 0.004
Epochs: 118, Loss: 30314052.0, lr: 0.004
Epochs: 119, Loss: 29876358.0, lr: 0.004
Epochs: 120, Loss: 30142910.0, lr: 0.004
Epochs: 121, Loss: 29610628.0, lr: 0.004
Epochs: 122, Loss: 29292076.0, lr: 0.004
Epochs: 123, Loss: 28625580.0, lr: 0.004
Epochs: 124, Loss: 27416924.0, lr: 0.004
Epochs: 125, Loss: 26872256.0, lr: 0.004
Epochs: 126, Loss: 26420386.0, lr: 0.004
Epochs: 127, Loss: 25554012.0, lr: 0.004
Epochs: 128, Loss: 24942246.0, lr: 0.004
Epochs: 129, Loss: 24268898.0, lr: 0.004
Epochs: 130, Loss: 24497950.0, lr: 0.004
Epochs: 131, Loss: 23846224.0, lr: 0.004
Epochs: 132, Loss: 23519212.0, lr: 0.004
Epochs: 133, Loss: 23022642.0, lr: 0.004
Epochs: 134, Loss: 22850794.0, lr: 0.004
Epochs: 135, Loss: 22522220.0, lr: 0.004
Epochs: 136, Loss: 22223272.0, lr: 0.004
Epochs: 137, Loss: 22028836.0, lr: 0.004
Epochs: 138, Loss: 21807570.0, lr: 0.004
Epochs: 139, Loss: 21673822.0, lr: 0.004
Epochs: 140, Loss: 21613404.0, lr: 0.004
Epochs: 141, Loss: 21555506.0, lr: 0.004
Epochs: 142, Loss: 21381724.0, lr: 0.004
Epochs: 143, Loss: 20671458.0, lr: 0.004
Epochs: 144, Loss: 20690896.0, lr: 0.004
Epochs: 145, Loss: 20524496.0, lr: 0.004
Epochs: 146, Loss: 20028758.0, lr: 0.004
Epochs: 147, Loss: 20394314.0, lr: 0.004
Epochs: 148, Loss: 19934962.0, lr: 0.004
Epochs: 149, Loss: 20163158.0, lr: 0.004
Epochs: 150, Loss: 20456996.0, lr: 0.004
Epochs: 151, Loss: 20352748.0, lr: 0.004
Epochs: 152, Loss: 20358592.0, lr: 0.004
Epochs: 153, Loss: 19798562.0, lr: 0.004
Epochs: 154, Loss: 20673520.0, lr: 0.004
Epochs: 155, Loss: 22011398.0, lr: 0.004
Epochs: 156, Loss: 22598698.0, lr: 0.004
Epochs: 157, Loss: 22519788.0, lr: 0.004
Epochs: 158, Loss: 27850900.0, lr: 0.004
Epochs: 159, Loss: 27252732.0, lr: 0.004
Epochs: 160, Loss: 29118954.0, lr: 0.004
Epochs: 161, Loss: 26795722.0, lr: 0.004
Epochs: 162, Loss: 25230826.0, lr: 0.004
########## Saving Trace ##########
