
Creating window glfw
Epochs: 0, Loss: 442058016.0, lr: 0.01
Epochs: 1, Loss: 412391264.0, lr: 0.009900250000000001
Epochs: 2, Loss: 381619648.0, lr: 0.009801
Epochs: 3, Loss: 388189312.0, lr: 0.00970225
Epochs: 4, Loss: 401647488.0, lr: 0.009604
Epochs: 5, Loss: 400278176.0, lr: 0.009506249999999999
Epochs: 6, Loss: 380741952.0, lr: 0.009408999999999999
Epochs: 7, Loss: 350828896.0, lr: 0.00931225
Epochs: 8, Loss: 322159136.0, lr: 0.009216
Epochs: 9, Loss: 295556768.0, lr: 0.00912025
Epochs: 10, Loss: 275119616.0, lr: 0.009025
Epochs: 11, Loss: 267066736.0, lr: 0.008930249999999999
Epochs: 12, Loss: 262106640.0, lr: 0.008836
Epochs: 13, Loss: 259506576.0, lr: 0.008742250000000002
Epochs: 14, Loss: 256370112.0, lr: 0.008648999999999999
Epochs: 15, Loss: 250597808.0, lr: 0.008556250000000001
Epochs: 16, Loss: 242654176.0, lr: 0.008464000000000001
Epochs: 17, Loss: 234632368.0, lr: 0.008372250000000001
Epochs: 18, Loss: 227836096.0, lr: 0.008281
Epochs: 19, Loss: 218824544.0, lr: 0.00819025
Epochs: 20, Loss: 219356256.0, lr: 0.008100000000000001
Epochs: 21, Loss: 213173712.0, lr: 0.00801025
Epochs: 22, Loss: 206613808.0, lr: 0.007921000000000001
Epochs: 23, Loss: 204566592.0, lr: 0.00783225
Epochs: 24, Loss: 198826080.0, lr: 0.007744
Epochs: 25, Loss: 188874864.0, lr: 0.00765625
Epochs: 26, Loss: 183423152.0, lr: 0.007569
Epochs: 27, Loss: 175975472.0, lr: 0.00748225
Epochs: 28, Loss: 170257424.0, lr: 0.007396
Epochs: 29, Loss: 164776496.0, lr: 0.007310249999999999
Epochs: 30, Loss: 159541968.0, lr: 0.007225
Epochs: 31, Loss: 153678768.0, lr: 0.007140249999999999
Epochs: 32, Loss: 147620000.0, lr: 0.007055999999999999
Epochs: 33, Loss: 142010976.0, lr: 0.00697225
Epochs: 34, Loss: 137167936.0, lr: 0.006888999999999999
Epochs: 35, Loss: 133040280.0, lr: 0.00680625
Epochs: 36, Loss: 129495528.0, lr: 0.006724000000000001
Epochs: 37, Loss: 125494760.0, lr: 0.00664225
Epochs: 38, Loss: 121813272.0, lr: 0.006561000000000002
Epochs: 39, Loss: 118325464.0, lr: 0.006480249999999999
Epochs: 40, Loss: 115540360.0, lr: 0.006400000000000001
Epochs: 41, Loss: 113193760.0, lr: 0.00632025
Epochs: 42, Loss: 110828056.0, lr: 0.006241000000000001
Epochs: 43, Loss: 108587624.0, lr: 0.00616225
Epochs: 44, Loss: 105527152.0, lr: 0.006084000000000001
Epochs: 45, Loss: 101738360.0, lr: 0.006006250000000001
Epochs: 46, Loss: 97205736.0, lr: 0.005929
Epochs: 47, Loss: 92368560.0, lr: 0.00585225
Epochs: 48, Loss: 88310168.0, lr: 0.005776
Epochs: 49, Loss: 84672072.0, lr: 0.0057002500000000005
Epochs: 50, Loss: 81885992.0, lr: 0.005625
Epochs: 51, Loss: 80041224.0, lr: 0.00555025
Epochs: 52, Loss: 78857992.0, lr: 0.005476
Epochs: 53, Loss: 77006864.0, lr: 0.00540225
Epochs: 54, Loss: 73775160.0, lr: 0.0053289999999999995
Epochs: 55, Loss: 70076912.0, lr: 0.0052562500000000005
Epochs: 56, Loss: 66714964.0, lr: 0.005184
Epochs: 57, Loss: 63763028.0, lr: 0.005112250000000001
Epochs: 58, Loss: 61072504.0, lr: 0.005041
Epochs: 59, Loss: 58590096.0, lr: 0.004970250000000002
Epochs: 60, Loss: 56199716.0, lr: 0.0049
Epochs: 61, Loss: 53882164.0, lr: 0.004830250000000001
Epochs: 62, Loss: 51765056.0, lr: 0.004761
Epochs: 63, Loss: 49860192.0, lr: 0.004692250000000001
Epochs: 64, Loss: 48059476.0, lr: 0.004624
Epochs: 65, Loss: 46310480.0, lr: 0.00455625
Epochs: 66, Loss: 44553572.0, lr: 0.004488999999999999
Epochs: 67, Loss: 42781512.0, lr: 0.004422250000000001
